Vereinsname,Vereinskürzel,Vereinsgründung,Name,Geburtsdatum,Typ,Position,Veranstaltungsname,Veranstaltungsdatum,Veranstaltungsort,Ortsbeschreibung
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Katharina,05.01.1995,Mitarbeiter,Finanzer,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Kurzfischen,08.10.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Kurzfischen,01.02.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Kurzfischen,23.08.2020,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Kurzfischen,01.09.2021,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Kurzfischen,12.01.2022,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Feuerzangenfischen,26.01.2018,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Philipp,03.03.1996,Student,Mitglied,Feuerzangenfischen,22.03.2019,Helmholtzhörsaal,Großer Hörsaal im Helmholtzbau
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Großes Fischen,25.05.2018,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Großes Fischen,01.10.2019,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Großes Fischen,14.07.2020,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Großes Fischen,05.12.2021,Ehrenbergwiese,Wiese direkt vor dem Audimax
Hochschulfischclub,HFC,1957,Laura,07.06.1992,Student,Mitglied,Großes Fischen,09.08.2022,Ehrenbergwiese,Wiese direkt vor dem Audimax
